,cidade_estado,endereco,lat_lon,latitude,longitude
917,"Santa helena de goiás, Goiás","Santa Helena de Goiás, GO, 75920-000, Brazil","(-17.8119748, -50.5981252)",-17.8119748,-50.5981252
918,"Santa inês, Maranhão","Santa Inês, MA, Brazil","(-3.6644286, -45.3839708)",-3.6644286,-45.3839708
919,"Santa isabel do pará, Pará","Santa Isabel do Pará - State of Pará, 68790-000, Brazil","(-1.2981731, -48.16461090000001)",-1.2981731,-48.16461090000001
920,"Santa isabel, São Paulo","Santa Isabel - State of São Paulo, 07500-000, Brazil","(-23.3158369, -46.2253623)",-23.3158369,-46.2253623
921,"Santa luzia, Paraíba","Santa Luzia - State of Paraíba, Brazil","(-6.8717535, -36.9213608)",-6.8717535,-36.9213608
922,"Santa maria da vitória, Bahia","Santa Maria da Vitória - State of Bahia, Brazil","(-13.3855106, -44.20199789999999)",-13.3855106,-44.20199789999999
923,"Santa maria, Rio Grande do Norte","Santa Maria, State of Rio Grande do Norte, 59464-000, Brazil","(-5.838419699999999, -35.6917292)",-5.838419699999999,-35.6917292
924,"Santa maria, Rio Grande do Sul","Santa Maria - RS, Brazil","(-29.687634, -53.8129003)",-29.687634,-53.8129003
925,"Santa rita, Paraíba","Santa Rita - State of Paraíba, Brazil","(-7.075819999999999, -34.994751)",-7.075819999999999,-34.994751
926,"Santa rosa, Rio Grande do Sul","Microrregião de Santa Rosa, RS, Brazil","(-27.8907342, -54.5699084)",-27.8907342,-54.5699084
927,"Santa vitória do palmar, Rio Grande do Sul","Santa Vitoria do Palmar, Santa Vitória do Palmar - RS, 96230-000, Brazil","(-33.5215632, -53.3664818)",-33.5215632,-53.3664818
928,"Santaluz, Bahia","Santaluz - State of Bahia, 48880-000, Brazil","(-11.2544913, -39.3752513)",-11.2544913,-39.3752513
929,"Santana do acaraú, Ceará","Santana do Acaraú - State of Ceará, Brazil","(-3.4605096, -40.20784829999999)",-3.4605096,-40.20784829999999
930,"Santana do cariri, Ceará","Santana do Cariri - State of Ceará, Brazil","(-7.184726299999999, -39.7378741)",-7.184726299999999,-39.7378741
931,"Santana do matos, Não Informado","Santana do Matos - State of Rio Grande do Norte, Brazil","(-5.9595514, -36.6549099)",-5.9595514,-36.6549099
932,"Santana do matos, Rio Grande do Norte","Santana do Matos - State of Rio Grande do Norte, Brazil","(-5.9595514, -36.6549099)",-5.9595514,-36.6549099
933,"Santana do seridó, Não Informado","Santana do Seridó - State of Rio Grande do Norte, Brazil","(-6.772099099999999, -36.735382)",-6.772099099999999,-36.735382
934,"Santana do seridó, Rio Grande do Norte","Santana do Seridó - State of Rio Grande do Norte, Brazil","(-6.772099099999999, -36.735382)",-6.772099099999999,-36.735382
935,"Santana dos garrotes, Paraíba","Santana dos Garrotes - State of Paraíba, Brazil","(-7.3775052, -37.9360755)",-7.3775052,-37.9360755
936,"Santana, Amapá","Santana - State of Amapá, 68925-000, Brazil","(-0.0371861, -51.1727439)",-0.0371861,-51.1727439
937,"Santana, Bahia","Santana - State of Bahia, Brazil","(-12.9811513, -44.0499024)",-12.9811513,-44.0499024
938,"Santarém, Pará","Santarém, PA, Brazil","(-2.4506291, -54.7009228)",-2.4506291,-54.7009228
939,"Santiago, Rio Grande do Sul","Santiago - RS, Brazil","(-29.1772764, -54.8788745)",-29.1772764,-54.8788745
940,"Santo amaro da imperatriz, Santa Catarina","Santo Amaro da Imperatriz, State of Santa Catarina, 88140-000, Brazil","(-27.6856839, -48.7817857)",-27.6856839,-48.7817857
941,"Santo anastácio, São Paulo","Santo Anastácio, SP, 19360-000, Brazil","(-21.9750453, -51.653094)",-21.9750453,-51.653094
942,"Santo andré, Rio Grande do Norte","R. Rio Grande do Norte - Vila Sao Pedro, Santo André - SP, 09210-360, Brazil","(-23.6403823, -46.5320554)",-23.6403823,-46.5320554
943,"Santo andré, São Paulo","Santo André, State of São Paulo, Brazil","(-23.6742228, -46.5436003)",-23.6742228,-46.5436003
944,"Santo antonio, Rio Grande do Norte","Santo Antônio - State of Rio Grande do Norte, Brazil","(-6.3114114, -35.4784773)",-6.3114114,-35.4784773
945,"Santo antonio, São Paulo","Chácara Santo Antônio, São Paulo - SP, 04711-020, Brazil","(-23.6350698, -46.7081095)",-23.6350698,-46.7081095
946,"Santo antônio de pádua, Rio de Janeiro","Santo Antônio de Pádua - State of Rio de Janeiro, 28470-000, Brazil","(-21.5539712, -42.1967716)",-21.5539712,-42.1967716
947,"Santo antônio, Não Informado",,,,
948,"Santo antônio, Rio Grande do Norte","Santo Antônio - State of Rio Grande do Norte, Brazil","(-6.3114114, -35.4784773)",-6.3114114,-35.4784773
949,"Santo augusto, Rio Grande do Sul","Santo Augusto, RS, 98590-000, Brazil","(-27.843667, -53.7762598)",-27.843667,-53.7762598
950,"Santo ângelo, Rio Grande do Sul","Santo Ângelo, RS, Brazil","(-28.3006117, -54.2673083)",-28.3006117,-54.2673083
951,"Santos, São Paulo","Santos - State of São Paulo, Brazil","(-23.9288143, -46.36350849999999)",-23.9288143,-46.36350849999999
952,"Sao gabriel da cachoeira, Amazonas","São Gabriel da Cachoeira - State of Amazonas, 69750-000, Brazil","(-0.1155659, -67.0883053)",-0.1155659,-67.0883053
